Sequence,MetricType,Lambda,Metric,bpp,Model
BlowingBubbles_416x240_50,PSNR,1,29.4479185295105,0.1182748508701721,DCVC
BlowingBubbles_416x240_50,PSNR,2,30.892954063415527,0.177920683245692,DCVC
BlowingBubbles_416x240_50,PSNR,3,32.06603086471558,0.262932849244939,DCVC
Johnny_1280x720_60,PSNR,0,35.22752101898193,0.0132544588138434,DCVC
Johnny_1280x720_60,PSNR,1,36.62650859832764,0.025631450032138,DCVC
Johnny_1280x720_60,PSNR,2,37.885824089050296,0.0278120572421361,DCVC
Johnny_1280x720_60,PSNR,3,38.78143081665039,0.0431587110182101,DCVC
KristenAndSara_1280x720_60,PSNR,0,34.8817554473877,0.0152073111163282,DCVC
KristenAndSara_1280x720_60,PSNR,1,36.35271717071533,0.0224073137969455,DCVC
KristenAndSara_1280x720_60,PSNR,2,37.766399230957035,0.0317440292774276,DCVC
KristenAndSara_1280x720_60,PSNR,3,38.76750499725342,0.0502093393677337,DCVC
BQTerrace_1920x1072_60,MS-SSIM,0,0.9619422751665117,0.056820302888751,DCVC
BQTerrace_1920x1072_60,MS-SSIM,1,0.9726732051372527,0.1050010638733704,DCVC
BQTerrace_1920x1072_60,MS-SSIM,2,0.9813112097978592,0.2179992142816384,DCVC
BQTerrace_1920x1072_60,MS-SSIM,3,0.9862320095300674,0.3439990396300951,DCVC
BasketballDrive_1920x1072_50,MS-SSIM,0,0.9679300212860108,0.0565810084591309,DCVC
BasketballDrive_1920x1072_50,MS-SSIM,1,0.9751524060964584,0.0930151505619287,DCVC
BasketballDrive_1920x1072_50,MS-SSIM,2,0.982202758193016,0.1827634514172872,DCVC
BasketballDrive_1920x1072_50,MS-SSIM,3,0.9870102578401564,0.3301007500489553,DCVC
PartyScene_832x480_50,MS-SSIM,0,0.9494914108514786,0.0936840164529384,DCVC
PartyScene_832x480_50,MS-SSIM,1,0.9669169479608536,0.1492535589627184,DCVC
PartyScene_832x480_50,MS-SSIM,2,0.9793248468637468,0.2323461916481891,DCVC
PartyScene_832x480_50,MS-SSIM,3,0.9852427583932876,0.3181647149219618,DCVC
RaceHorses_832x480_30,MS-SSIM,0,0.955135583281517,0.1070488345066269,DCVC
RaceHorses_832x480_30,MS-SSIM,1,0.970883373618126,0.1811935763011921,DCVC
RaceHorses_832x480_30,MS-SSIM,2,0.9827653282880784,0.2999234148335981,DCVC
RaceHorses_832x480_30,MS-SSIM,3,0.9875410562753676,0.4240935853254664,DCVC
BQSquare_416x240_60,MS-SSIM,0,0.9640064066648484,0.0468047062348988,DCVC
BQSquare_416x240_60,MS-SSIM,1,0.975633453130722,0.0769677673404415,DCVC
BQSquare_416x240_60,MS-SSIM,2,0.9837834513187408,0.122567083351314,DCVC
BQSquare_416x240_60,MS-SSIM,3,0.9888284581899645,0.1771315847751167,DCVC
BlowingBubbles_416x240_50,MS-SSIM,0,0.9531085878610612,0.069712474633836,DCVC
BlowingBubbles_416x240_50,MS-SSIM,1,0.9673333591222764,0.1147972101552618,DCVC
BlowingBubbles_416x240_50,MS-SSIM,2,0.9785052138566972,0.1968053792334265,DCVC
BlowingBubbles_416x240_50,MS-SSIM,3,0.9848729610443115,0.292023268457916,DCVC
Johnny_1280x720_60,MS-SSIM,0,0.9773237109184264,0.0236520472788675,DCVC
Johnny_1280x720_60,MS-SSIM,1,0.9828468990325928,0.0495718950608914,DCVC
Johnny_1280x720_60,MS-SSIM,2,0.9875310999155044,0.1102375606298446,DCVC
Johnny_1280x720_60,MS-SSIM,3,0.9910896188020706,0.222139616207643,DCVC
KristenAndSara_1280x720_60,MS-SSIM,0,0.9807226663827896,0.0229296940587122,DCVC
KristenAndSara_1280x720_60,MS-SSIM,1,0.9849860906600952,0.0451700018451295,DCVC
KristenAndSara_1280x720_60,MS-SSIM,2,0.9889862871170044,0.0979604739939624,DCVC
KristenAndSara_1280x720_60,MS-SSIM,3,0.991874149441719,0.193232687597925,DCVC
BasketballDrive_1920x1072_50,PSNR,1024,34.900156184203226,0.12397636815920397,RLVC
BasketballDrive_1920x1072_50,PSNR,2048,35.8645452015736,0.2603214396766169,RLVC
BlowingBubbles_416x240_50,MS-SSIM,8,0.9583425897448282,0.07045355902777777,RLVC
BlowingBubbles_416x240_50,MS-SSIM,16,0.9692339217751246,0.1333669704861111,RLVC
BlowingBubbles_416x240_50,MS-SSIM,32,0.9803884964924641,0.19239908854166668,RLVC
BlowingBubbles_416x240_50,MS-SSIM,64,0.9868590875832904,0.33810221354166664,RLVC
BlowingBubbles_416x240_50,PSNR,256,28.12153918688503,0.07943033854166666,RLVC
BlowingBubbles_416x240_50,PSNR,512,30.12295081420932,0.1390093315972222,RLVC
BlowingBubbles_416x240_50,PSNR,1024,31.976657553470996,0.23476345486111108,RLVC
BlowingBubbles_416x240_50,PSNR,2048,33.24768564206874,0.4220887586805555,RLVC
