/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 3 mv_bits = 57840
Frame 4 mv_bits = 53856
Frame 5 mv_bits = 53544
Frame 6 mv_bits = 53840
Frame 7 mv_bits = 55360
Frame 12 mv_bits = 58232
Frame 11 mv_bits = 54528
Frame 10 mv_bits = 53968
Frame 9 mv_bits = 54560
Frame 8 mv_bits = 53568
Frame 16 mv_bits = 56344
Frame 17 mv_bits = 50488
Frame 18 mv_bits = 49912
Frame 19 mv_bits = 48688
Frame 20 mv_bits = 50840
Frame 25 mv_bits = 57256
Frame 24 mv_bits = 54440
Frame 23 mv_bits = 51912
Frame 22 mv_bits = 51392
Frame 21 mv_bits = 52640
Frame 29 mv_bits = 55368
Frame 30 mv_bits = 50520
Frame 31 mv_bits = 49776
Frame 32 mv_bits = 50712
Frame 33 mv_bits = 51488
Frame 38 mv_bits = 52872
Frame 37 mv_bits = 49952
Frame 36 mv_bits = 50280
Frame 35 mv_bits = 50216
Frame 34 mv_bits = 50904
Frame 42 mv_bits = 53416
Frame 43 mv_bits = 49584
Frame 44 mv_bits = 49072
Frame 45 mv_bits = 49168
Frame 46 mv_bits = 51992
Frame 51 mv_bits = 53784
Frame 50 mv_bits = 53736
Frame 49 mv_bits = 49576
Frame 48 mv_bits = 49992
Frame 47 mv_bits = 51104
Frame 55 mv_bits = 53976
Frame 56 mv_bits = 52352
Frame 57 mv_bits = 50760
Frame 58 mv_bits = 53152
Frame 59 mv_bits = 59296
Frame 64 mv_bits = 54960
Frame 63 mv_bits = 52096
Frame 62 mv_bits = 58472
Frame 61 mv_bits = 52560
Frame 60 mv_bits = 53288
Frame 68 mv_bits = 57240
Frame 69 mv_bits = 56824
Frame 70 mv_bits = 53112
Frame 71 mv_bits = 51728
Frame 72 mv_bits = 52760
Frame 77 mv_bits = 61592
Frame 76 mv_bits = 54200
Frame 75 mv_bits = 52264
Frame 74 mv_bits = 50168
Frame 73 mv_bits = 51496
Frame 81 mv_bits = 55184
Frame 82 mv_bits = 53408
Frame 83 mv_bits = 52888
Frame 84 mv_bits = 52512
Frame 85 mv_bits = 52376
Frame 90 mv_bits = 51832
Frame 89 mv_bits = 49128
Frame 88 mv_bits = 49032
Frame 87 mv_bits = 51592
Frame 86 mv_bits = 52168
Frame 94 mv_bits = 55392
Frame 95 mv_bits = 53368
Frame 96 mv_bits = 53288
Frame 97 mv_bits = 52088
Frame 98 mv_bits = 51680
Frame 99 mv_bits = 88112
Frame 100 mv_bits = 71712
Frame 3 res_bits = 126464
Frame 4 res_bits = 129328
Frame 5 res_bits = 126720
Frame 6 res_bits = 118120
Frame 7 res_bits = 108784
Frame 12 res_bits = 133416
Frame 11 res_bits = 130480
Frame 10 res_bits = 129392
Frame 9 res_bits = 120752
Frame 8 res_bits = 108616
Frame 16 res_bits = 131296
Frame 17 res_bits = 125304
Frame 18 res_bits = 120888
Frame 19 res_bits = 107576
Frame 20 res_bits = 96744
Frame 25 res_bits = 135384
Frame 24 res_bits = 130888
Frame 23 res_bits = 124872
Frame 22 res_bits = 113176
Frame 21 res_bits = 102552
Frame 29 res_bits = 133448
Frame 30 res_bits = 127384
Frame 31 res_bits = 121360
Frame 32 res_bits = 110856
Frame 33 res_bits = 101456
Frame 38 res_bits = 125480
Frame 37 res_bits = 124496
Frame 36 res_bits = 125792
Frame 35 res_bits = 117256
Frame 34 res_bits = 104456
Frame 42 res_bits = 124336
Frame 43 res_bits = 126832
Frame 44 res_bits = 125168
Frame 45 res_bits = 119640
Frame 46 res_bits = 111608
Frame 51 res_bits = 133440
Frame 50 res_bits = 134272
Frame 49 res_bits = 128848
Frame 48 res_bits = 120792
Frame 47 res_bits = 111976
Frame 55 res_bits = 135168
Frame 56 res_bits = 135528
Frame 57 res_bits = 135608
Frame 58 res_bits = 136448
Frame 59 res_bits = 126336
Frame 64 res_bits = 150840
Frame 63 res_bits = 150528
Frame 62 res_bits = 148088
Frame 61 res_bits = 144160
Frame 60 res_bits = 132056
Frame 68 res_bits = 169064
Frame 69 res_bits = 161608
Frame 70 res_bits = 151584
Frame 71 res_bits = 140288
Frame 72 res_bits = 128360
Frame 77 res_bits = 163104
Frame 76 res_bits = 155120
Frame 75 res_bits = 141432
Frame 74 res_bits = 130432
Frame 73 res_bits = 118680
Frame 81 res_bits = 146576
Frame 82 res_bits = 145920
Frame 83 res_bits = 142416
Frame 84 res_bits = 128160
Frame 85 res_bits = 112736
Frame 90 res_bits = 117816
Frame 89 res_bits = 116448
Frame 88 res_bits = 117384
Frame 87 res_bits = 112336
Frame 86 res_bits = 102488
Frame 94 res_bits = 135872
Frame 95 res_bits = 137336
Frame 96 res_bits = 134952
Frame 97 res_bits = 120856
Frame 98 res_bits = 111968
Frame 99 res_bits = 222584
Frame 100 res_bits = 151824
Average bpp: 0.12397636815920397
