/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 3 mv_bits = 14688
Frame 4 mv_bits = 13832
Frame 5 mv_bits = 13400
Frame 6 mv_bits = 13392
Frame 7 mv_bits = 13640
Frame 12 mv_bits = 14840
Frame 11 mv_bits = 13840
Frame 10 mv_bits = 13584
Frame 9 mv_bits = 13712
Frame 8 mv_bits = 13408
Frame 16 mv_bits = 15744
Frame 17 mv_bits = 14200
Frame 18 mv_bits = 13104
Frame 19 mv_bits = 13528
Frame 20 mv_bits = 12976
Frame 25 mv_bits = 15208
Frame 24 mv_bits = 13760
Frame 23 mv_bits = 13208
Frame 22 mv_bits = 13304
Frame 21 mv_bits = 13096
Frame 29 mv_bits = 15352
Frame 30 mv_bits = 14288
Frame 31 mv_bits = 14208
Frame 32 mv_bits = 14264
Frame 33 mv_bits = 14136
Frame 38 mv_bits = 13448
Frame 37 mv_bits = 12928
Frame 36 mv_bits = 13208
Frame 35 mv_bits = 13888
Frame 34 mv_bits = 13288
Frame 42 mv_bits = 14256
Frame 43 mv_bits = 13536
Frame 44 mv_bits = 13184
Frame 45 mv_bits = 13064
Frame 46 mv_bits = 13208
Frame 51 mv_bits = 14472
Frame 50 mv_bits = 13200
Frame 49 mv_bits = 13264
Frame 48 mv_bits = 13040
Frame 47 mv_bits = 13576
Frame 55 mv_bits = 15328
Frame 56 mv_bits = 14984
Frame 57 mv_bits = 14392
Frame 58 mv_bits = 14304
Frame 59 mv_bits = 14536
Frame 64 mv_bits = 16352
Frame 63 mv_bits = 15664
Frame 62 mv_bits = 14384
Frame 61 mv_bits = 14256
Frame 60 mv_bits = 13784
Frame 68 mv_bits = 16872
Frame 69 mv_bits = 15104
Frame 70 mv_bits = 14720
Frame 71 mv_bits = 14440
Frame 72 mv_bits = 13720
Frame 77 mv_bits = 15664
Frame 76 mv_bits = 15136
Frame 75 mv_bits = 15112
Frame 74 mv_bits = 14608
Frame 73 mv_bits = 14328
Frame 81 mv_bits = 15048
Frame 82 mv_bits = 13872
Frame 83 mv_bits = 13408
Frame 84 mv_bits = 13336
Frame 85 mv_bits = 12992
Frame 90 mv_bits = 14744
Frame 89 mv_bits = 13704
Frame 88 mv_bits = 13312
Frame 87 mv_bits = 13864
Frame 86 mv_bits = 13768
Frame 94 mv_bits = 15192
Frame 95 mv_bits = 14728
Frame 96 mv_bits = 14472
Frame 97 mv_bits = 13872
Frame 98 mv_bits = 14096
Frame 99 mv_bits = 17280
Frame 100 mv_bits = 16640
Frame 3 res_bits = 62608
Frame 4 res_bits = 58728
Frame 5 res_bits = 55768
Frame 6 res_bits = 51920
Frame 7 res_bits = 46952
Frame 12 res_bits = 59192
Frame 11 res_bits = 59256
Frame 10 res_bits = 58952
Frame 9 res_bits = 56672
Frame 8 res_bits = 50384
Frame 16 res_bits = 61544
Frame 17 res_bits = 58040
Frame 18 res_bits = 56384
Frame 19 res_bits = 52872
Frame 20 res_bits = 47224
Frame 25 res_bits = 61936
Frame 24 res_bits = 59216
Frame 23 res_bits = 57104
Frame 22 res_bits = 52984
Frame 21 res_bits = 47448
Frame 29 res_bits = 66312
Frame 30 res_bits = 64840
Frame 31 res_bits = 64128
Frame 32 res_bits = 61056
Frame 33 res_bits = 56616
Frame 38 res_bits = 54568
Frame 37 res_bits = 55880
Frame 36 res_bits = 54744
Frame 35 res_bits = 52488
Frame 34 res_bits = 48696
Frame 42 res_bits = 58656
Frame 43 res_bits = 56696
Frame 44 res_bits = 55016
Frame 45 res_bits = 50272
Frame 46 res_bits = 45408
Frame 51 res_bits = 57784
Frame 50 res_bits = 57304
Frame 49 res_bits = 56080
Frame 48 res_bits = 54152
Frame 47 res_bits = 47112
Frame 55 res_bits = 61216
Frame 56 res_bits = 62664
Frame 57 res_bits = 61440
Frame 58 res_bits = 55520
Frame 59 res_bits = 50000
Frame 64 res_bits = 68808
Frame 63 res_bits = 63792
Frame 62 res_bits = 59200
Frame 61 res_bits = 52680
Frame 60 res_bits = 45320
Frame 68 res_bits = 72640
Frame 69 res_bits = 69256
Frame 70 res_bits = 63824
Frame 71 res_bits = 58576
Frame 72 res_bits = 51432
Frame 77 res_bits = 60952
Frame 76 res_bits = 63160
Frame 75 res_bits = 62728
Frame 74 res_bits = 59040
Frame 73 res_bits = 53048
Frame 81 res_bits = 59496
Frame 82 res_bits = 58528
Frame 83 res_bits = 54064
Frame 84 res_bits = 49008
Frame 85 res_bits = 43128
Frame 90 res_bits = 55664
Frame 89 res_bits = 53840
Frame 88 res_bits = 52432
Frame 87 res_bits = 51664
Frame 86 res_bits = 46656
Frame 94 res_bits = 58640
Frame 95 res_bits = 57888
Frame 96 res_bits = 58320
Frame 97 res_bits = 57024
Frame 98 res_bits = 52216
Frame 99 res_bits = 71368
Frame 100 res_bits = 61624
Average bpp: 0.28645432692307693
