/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 3 mv_bits = 176
Frame 4 mv_bits = 46320
Frame 5 mv_bits = 10248
Frame 6 mv_bits = 9232
Frame 7 mv_bits = 8688
Frame 12 mv_bits = 9552
Frame 11 mv_bits = 8768
Frame 10 mv_bits = 8616
Frame 9 mv_bits = 8416
Frame 8 mv_bits = 8448
Frame 16 mv_bits = 9816
Frame 17 mv_bits = 8744
Frame 18 mv_bits = 8808
Frame 19 mv_bits = 8720
Frame 20 mv_bits = 8656
Frame 25 mv_bits = 9760
Frame 24 mv_bits = 8784
Frame 23 mv_bits = 8432
Frame 22 mv_bits = 8344
Frame 21 mv_bits = 8344
Frame 29 mv_bits = 9416
Frame 30 mv_bits = 8808
Frame 31 mv_bits = 8672
Frame 32 mv_bits = 8528
Frame 33 mv_bits = 8464
Frame 38 mv_bits = 8040
Frame 37 mv_bits = 7648
Frame 36 mv_bits = 7688
Frame 35 mv_bits = 8136
Frame 34 mv_bits = 8336
Frame 42 mv_bits = 8424
Frame 43 mv_bits = 7304
Frame 44 mv_bits = 7248
Frame 45 mv_bits = 7216
Frame 46 mv_bits = 7296
Frame 51 mv_bits = 8536
Frame 50 mv_bits = 7776
Frame 49 mv_bits = 8096
Frame 48 mv_bits = 7704
Frame 47 mv_bits = 7424
Frame 55 mv_bits = 9040
Frame 56 mv_bits = 8064
Frame 57 mv_bits = 7912
Frame 58 mv_bits = 7656
Frame 59 mv_bits = 7656
Frame 64 mv_bits = 8744
Frame 63 mv_bits = 7960
Frame 62 mv_bits = 7656
Frame 61 mv_bits = 7736
Frame 60 mv_bits = 7744
Frame 68 mv_bits = 8624
Frame 69 mv_bits = 7928
Frame 70 mv_bits = 7448
Frame 71 mv_bits = 7536
Frame 72 mv_bits = 7496
Frame 77 mv_bits = 8416
Frame 76 mv_bits = 7736
Frame 75 mv_bits = 7536
Frame 74 mv_bits = 7456
Frame 73 mv_bits = 7368
Frame 81 mv_bits = 8440
Frame 82 mv_bits = 7696
Frame 83 mv_bits = 7336
Frame 84 mv_bits = 7448
Frame 85 mv_bits = 7304
Frame 90 mv_bits = 7960
Frame 89 mv_bits = 7424
Frame 88 mv_bits = 7440
Frame 87 mv_bits = 7208
Frame 86 mv_bits = 7080
Frame 94 mv_bits = 7920
Frame 95 mv_bits = 7392
Frame 96 mv_bits = 7360
Frame 97 mv_bits = 7280
Frame 98 mv_bits = 7720
Frame 99 mv_bits = 9520
Frame 100 mv_bits = 8984
Frame 3 res_bits = 1192
Frame 4 res_bits = 122552
Frame 5 res_bits = 54976
Frame 6 res_bits = 46056
Frame 7 res_bits = 40048
Frame 12 res_bits = 45648
Frame 11 res_bits = 46256
Frame 10 res_bits = 46520
Frame 9 res_bits = 42992
Frame 8 res_bits = 37688
Frame 16 res_bits = 45752
Frame 17 res_bits = 46544
Frame 18 res_bits = 45672
Frame 19 res_bits = 41816
Frame 20 res_bits = 36696
Frame 25 res_bits = 45144
Frame 24 res_bits = 45176
Frame 23 res_bits = 44976
Frame 22 res_bits = 41144
Frame 21 res_bits = 36344
Frame 29 res_bits = 43728
Frame 30 res_bits = 42640
Frame 31 res_bits = 41632
Frame 32 res_bits = 38248
Frame 33 res_bits = 33096
Frame 38 res_bits = 33120
Frame 37 res_bits = 45800
Frame 36 res_bits = 39408
Frame 35 res_bits = 36256
Frame 34 res_bits = 34192
Frame 42 res_bits = 31616
Frame 43 res_bits = 31624
Frame 44 res_bits = 30864
Frame 45 res_bits = 27808
Frame 46 res_bits = 24344
Frame 51 res_bits = 36816
Frame 50 res_bits = 38152
Frame 49 res_bits = 37016
Frame 48 res_bits = 32984
Frame 47 res_bits = 26648
Frame 55 res_bits = 37944
Frame 56 res_bits = 38512
Frame 57 res_bits = 37800
Frame 58 res_bits = 33504
Frame 59 res_bits = 28248
Frame 64 res_bits = 37744
Frame 63 res_bits = 38392
Frame 62 res_bits = 38456
Frame 61 res_bits = 35112
Frame 60 res_bits = 30000
Frame 68 res_bits = 39096
Frame 69 res_bits = 38360
Frame 70 res_bits = 35968
Frame 71 res_bits = 32128
Frame 72 res_bits = 26736
Frame 77 res_bits = 34864
Frame 76 res_bits = 36328
Frame 75 res_bits = 36224
Frame 74 res_bits = 33048
Frame 73 res_bits = 27656
Frame 81 res_bits = 34216
Frame 82 res_bits = 33536
Frame 83 res_bits = 31872
Frame 84 res_bits = 28392
Frame 85 res_bits = 23752
Frame 90 res_bits = 32224
Frame 89 res_bits = 32560
Frame 88 res_bits = 32104
Frame 87 res_bits = 29144
Frame 86 res_bits = 24800
Frame 94 res_bits = 35016
Frame 95 res_bits = 34256
Frame 96 res_bits = 34544
Frame 97 res_bits = 32640
Frame 98 res_bits = 30336
Frame 99 res_bits = 69152
Frame 100 res_bits = 45960
Average bpp: 0.297408453525641
