/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 3 mv_bits = 3872
Frame 4 mv_bits = 2888
Frame 5 mv_bits = 2712
Frame 6 mv_bits = 2744
Frame 7 mv_bits = 2408
Frame 12 mv_bits = 3832
Frame 11 mv_bits = 2944
Frame 10 mv_bits = 2456
Frame 9 mv_bits = 2288
Frame 8 mv_bits = 2136
Frame 16 mv_bits = 3608
Frame 17 mv_bits = 2632
Frame 18 mv_bits = 2496
Frame 19 mv_bits = 2232
Frame 20 mv_bits = 2296
Frame 25 mv_bits = 3384
Frame 24 mv_bits = 2616
Frame 23 mv_bits = 2552
Frame 22 mv_bits = 2320
Frame 21 mv_bits = 2328
Frame 29 mv_bits = 2896
Frame 30 mv_bits = 2928
Frame 31 mv_bits = 2496
Frame 32 mv_bits = 1984
Frame 33 mv_bits = 2160
Frame 38 mv_bits = 3168
Frame 37 mv_bits = 2680
Frame 36 mv_bits = 2392
Frame 35 mv_bits = 2352
Frame 34 mv_bits = 2384
Frame 42 mv_bits = 3352
Frame 43 mv_bits = 2976
Frame 44 mv_bits = 2672
Frame 45 mv_bits = 2312
Frame 46 mv_bits = 2672
Frame 51 mv_bits = 3520
Frame 50 mv_bits = 2632
Frame 49 mv_bits = 2512
Frame 48 mv_bits = 2424
Frame 47 mv_bits = 2616
Frame 55 mv_bits = 3272
Frame 56 mv_bits = 2584
Frame 57 mv_bits = 2400
Frame 58 mv_bits = 2408
Frame 59 mv_bits = 2232
Frame 64 mv_bits = 3056
Frame 63 mv_bits = 2528
Frame 62 mv_bits = 2360
Frame 61 mv_bits = 2352
Frame 60 mv_bits = 2280
Frame 68 mv_bits = 2992
Frame 69 mv_bits = 2408
Frame 70 mv_bits = 2088
Frame 71 mv_bits = 1832
Frame 72 mv_bits = 1592
Frame 77 mv_bits = 3040
Frame 76 mv_bits = 2328
Frame 75 mv_bits = 2224
Frame 74 mv_bits = 1912
Frame 73 mv_bits = 1856
Frame 81 mv_bits = 3144
Frame 82 mv_bits = 2544
Frame 83 mv_bits = 2680
Frame 84 mv_bits = 2552
Frame 85 mv_bits = 2696
Frame 90 mv_bits = 3600
Frame 89 mv_bits = 2760
Frame 88 mv_bits = 2480
Frame 87 mv_bits = 2552
Frame 86 mv_bits = 2408
Frame 94 mv_bits = 3640
Frame 95 mv_bits = 3024
Frame 96 mv_bits = 2704
Frame 97 mv_bits = 2896
Frame 98 mv_bits = 2752
Frame 99 mv_bits = 4056
Frame 100 mv_bits = 4032
Frame 3 res_bits = 6552
Frame 4 res_bits = 5024
Frame 5 res_bits = 4688
Frame 6 res_bits = 4056
Frame 7 res_bits = 2624
Frame 12 res_bits = 7376
Frame 11 res_bits = 5624
Frame 10 res_bits = 4400
Frame 9 res_bits = 3512
Frame 8 res_bits = 3008
Frame 16 res_bits = 6816
Frame 17 res_bits = 4936
Frame 18 res_bits = 4440
Frame 19 res_bits = 3760
Frame 20 res_bits = 2912
Frame 25 res_bits = 6536
Frame 24 res_bits = 4544
Frame 23 res_bits = 4360
Frame 22 res_bits = 3808
Frame 21 res_bits = 2616
Frame 29 res_bits = 6360
Frame 30 res_bits = 5248
Frame 31 res_bits = 3696
Frame 32 res_bits = 3792
Frame 33 res_bits = 2104
Frame 38 res_bits = 6704
Frame 37 res_bits = 4808
Frame 36 res_bits = 4488
Frame 35 res_bits = 3976
Frame 34 res_bits = 2656
Frame 42 res_bits = 6824
Frame 43 res_bits = 5272
Frame 44 res_bits = 4480
Frame 45 res_bits = 3776
Frame 46 res_bits = 3496
Frame 51 res_bits = 7232
Frame 50 res_bits = 5232
Frame 49 res_bits = 4464
Frame 48 res_bits = 4664
Frame 47 res_bits = 3072
Frame 55 res_bits = 6456
Frame 56 res_bits = 5336
Frame 57 res_bits = 4128
Frame 58 res_bits = 4376
Frame 59 res_bits = 2520
Frame 64 res_bits = 6808
Frame 63 res_bits = 4936
Frame 62 res_bits = 4840
Frame 61 res_bits = 3928
Frame 60 res_bits = 2960
Frame 68 res_bits = 6496
Frame 69 res_bits = 4448
Frame 70 res_bits = 4056
Frame 71 res_bits = 3008
Frame 72 res_bits = 2784
Frame 77 res_bits = 5936
Frame 76 res_bits = 4696
Frame 75 res_bits = 3488
Frame 74 res_bits = 3888
Frame 73 res_bits = 1992
Frame 81 res_bits = 5872
Frame 82 res_bits = 4800
Frame 83 res_bits = 4200
Frame 84 res_bits = 4328
Frame 85 res_bits = 2680
Frame 90 res_bits = 6896
Frame 89 res_bits = 4880
Frame 88 res_bits = 5192
Frame 87 res_bits = 4000
Frame 86 res_bits = 3624
Frame 94 res_bits = 7168
Frame 95 res_bits = 5176
Frame 96 res_bits = 4624
Frame 97 res_bits = 3664
Frame 98 res_bits = 3744
Frame 99 res_bits = 26096
Frame 100 res_bits = 7960
Average bpp: 0.017989409722222224
